Date,Signal,Price,MTM_Price,Target_Return_Fwd,Model_Capital,BH_Capital,Random_Capital,Correct_Prediction,Model_Type,Features_Used
2022-06-21,1,27.831206197331202,27.60362434387207,1,75380.26599099024,78051.16148323393,82156.0770208281,1,Ensemble (RF + HGB),37
2022-06-22,1,27.831205214624383,27.78379249572754,0,75872.27106397571,78560.5994229561,82047.48366125853,0,Ensemble (RF + HGB),37
2022-06-23,1,27.831207468168667,27.736379623413086,1,75742.79549649452,78426.53623953863,82008.74590052303,1,Ensemble (RF + HGB),37
2022-06-24,1,28.257919950199625,28.020856857299805,0,76519.64890138165,79230.91534004343,82567.5757170602,0,Ensemble (RF + HGB),37
2022-06-27,1,27.926031467482787,28.020856857299805,1,76519.64890138165,79230.91534004343,82179.43165989361,1,Ensemble (RF + HGB),37
2022-06-28,1,27.926031467482787,28.210506439208984,0,77037.5459626988,79767.1626805528,82140.66955475236,0,Ensemble (RF + HGB),37
2022-06-29,1,28.16309451397382,28.210506439208984,0,77037.5459626988,79767.1626805528,82728.66278712964,0,Ensemble (RF + HGB),37
2022-06-30,1,27.54672874365815,27.499317169189453,1,75095.42286769618,77756.2257156118,82689.79934884541,1,Ensemble (RF + HGB),37
2022-07-01,1,27.92603272622606,27.9260311126709,1,76260.69776641927,78962.7889732085,83718.07396906556,1,Ensemble (RF + HGB),37
2022-07-04,1,28.494980419478136,28.44757080078125,0,77684.92380010473,80437.47859764013,83718.07396906556,0,Ensemble (RF + HGB),37
2022-07-05,1,28.06826925215451,28.16309356689453,1,76908.07039521761,79633.09949713534,83679.02798441827,1,Ensemble (RF + HGB),37
2022-07-06,1,28.54239578118875,28.400157928466797,1,77555.44823262354,80303.41541422266,84668.47701611143,1,Ensemble (RF + HGB),37
2022-07-07,1,29.490648609486005,29.395822525024414,0,80274.4195239057,83118.72608650797,87804.96905002688,0,Ensemble (RF + HGB),37
2022-07-08,1,28.92169544316279,29.063934326171875,1,79368.09576014498,82180.2891957462,87765.16903323715,1,Ensemble (RF + HGB),37
2022-07-11,1,29.20616912841797,29.443233489990234,0,80403.88988277929,83252.78387676495,89347.81742696732,0,Ensemble (RF + HGB),37
2022-07-12,1,29.20616912841797,29.20616912841797,0,79756.51204537335,82582.46795967763,88628.4268986342,0,Ensemble (RF + HGB),37
2022-07-13,1,29.11134674379809,29.20616912841797,0,79756.51204537335,82582.46795967763,88225.69244913974,0,Ensemble (RF + HGB),37
2022-07-14,1,28.826867898893116,28.82686996459961,0,78720.71792273904,81509.97327865887,88225.69244913974,0,Ensemble (RF + HGB),37
2022-07-15,1,28.92169588661868,28.73204231262207,1,78461.76157916908,81241.84151866345,88225.69244913974,1,Ensemble (RF + HGB),37
2022-07-18,1,29.538060797886477,29.727710723876953,1,81180.74328766641,84057.16297726973,88225.69244913974,1,Ensemble (RF + HGB),37
2022-07-19,1,30.201835944873757,29.96477508544922,0,81828.12112507234,84727.47889435706,88225.69244913974,0,Ensemble (RF + HGB),37
2022-07-20,1,29.727711367334653,29.775121688842773,1,81310.21364654001,84191.22076752671,88225.69244913974,1,Ensemble (RF + HGB),37
2022-07-21,1,30.249248352819404,30.20183753967285,0,82475.49375387069,85397.78941828391,88225.69244913974,0,Ensemble (RF + HGB),37
2022-07-22,1,29.96477508544922,30.154422760009766,0,82346.01297778191,85263.72084170594,88225.69244913974,0,Ensemble (RF + HGB),37
2022-07-25,1,29.869949487252182,29.96477508544922,0,81828.12112507234,84727.47889435706,88225.69244913974,0,Ensemble (RF + HGB),37
2022-07-26,1,29.869949052068534,29.96477508544922,1,81828.12112507234,84727.47889435706,88185.81480888287,1,Ensemble (RF + HGB),37
2022-07-27,1,30.43889801238791,30.39148712158203,1,82993.39081518784,85934.03675879327,89748.97148256874,1,Ensemble (RF + HGB),37
