Date,Signal,Price,Target_Return_Fwd,Model_Capital,BH_Capital,Random_Capital,Correct_Prediction,Model_Type,Features_Used
2022-07-01,1,441.5320739746094,1,99645.83416565576,100666.17659229209,90343.41018788773,1,Ensemble (RF + HGB),36
2022-07-04,1,447.7741394042969,0,101054.55587200586,102089.32317185789,90343.41018788773,0,Ensemble (RF + HGB),36
2022-07-05,1,446.54461669921875,1,100777.07474935436,101809.00072859923,90303.14182870806,1,Ensemble (RF + HGB),36
2022-07-06,1,453.921630859375,1,102441.93393619316,103490.90755698705,91794.96936634846,1,Ensemble (RF + HGB),36
2022-07-07,1,460.3528747558594,1,103893.34981413644,104957.18548321721,92975.62978835618,1,Ensemble (RF + HGB),36
2022-07-08,1,462.05523681640625,0,104277.54226033438,105345.31194086814,92934.87578466022,0,Ensemble (RF + HGB),36
2022-07-11,1,461.7242431640625,0,104202.84295639837,105269.84773923534,92868.3018092671,0,Ensemble (RF + HGB),36
2022-07-12,1,458.6504821777344,1,103509.15048067093,104569.05206777525,92250.06491312379,1,Ensemble (RF + HGB),36
2022-07-13,1,460.11639404296875,0,103839.98037782809,104903.269560439,92425.57147048335,0,Ensemble (RF + HGB),36
2022-07-14,1,453.35418701171875,0,102313.87208321637,103361.53439036709,92425.57147048335,0,Ensemble (RF + HGB),36
2022-07-15,1,453.1177062988281,1,102260.50264690803,103307.61846758887,92425.57147048335,1,Ensemble (RF + HGB),36
2022-07-18,1,463.7103271484375,1,104651.0663290847,105722.66078019625,92425.57147048335,1,Ensemble (RF + HGB),36
2022-07-19,1,470.9454650878906,1,106283.90660904555,107372.22083803355,92425.57147048335,1,Ensemble (RF + HGB),36
2022-07-20,1,481.0179138183594,1,108557.07681569304,109668.66760234378,92425.57147048335,1,Ensemble (RF + HGB),36
2022-07-21,1,484.2807922363281,1,109293.4496884785,110412.58070488615,92425.57147048335,1,Ensemble (RF + HGB),36
2022-07-22,1,485.84130859375,1,109645.63011506604,110768.3673497776,92425.57147048335,1,Ensemble (RF + HGB),36
2022-07-25,1,489.7189636230469,0,110520.74699281104,111652.44515284483,92425.57147048335,0,Ensemble (RF + HGB),36
2022-07-26,1,486.314208984375,1,109752.35521314759,110876.18527975194,92384.91895254704,1,Ensemble (RF + HGB),36
2022-07-27,1,499.5549621582031,1,112740.55465041776,113894.98295216789,94778.48530515382,1,Ensemble (RF + HGB),36
2022-07-28,1,503.57452392578125,0,113647.6973223083,114811.41448357666,94737.39867461502,0,Ensemble (RF + HGB),36
2022-07-29,1,499.6968078613281,1,112772.56667002817,113927.32276492736,94007.88454057754,1,Ensemble (RF + HGB),36
2022-08-01,1,504.8039855957031,1,113925.1646704247,115091.72301125324,94968.69711177686,1,Ensemble (RF + HGB),36
2022-08-02,1,512.701171875,0,115707.41733279268,116892.2253879382,96331.01149648245,0,Ensemble (RF + HGB),36
2022-08-03,1,511.5188903808594,0,115440.59770032123,116622.67360521131,96331.01149648245,0,Ensemble (RF + HGB),36
2022-08-04,1,504.3311462402344,0,113818.45334687826,114983.91899686099,96331.01149648245,0,Ensemble (RF + HGB),36
2022-08-05,1,502.25042724609375,0,113348.87255749399,114509.52984588133,96331.01149648245,0,Ensemble (RF + HGB),36
2022-08-08,1,492.177978515625,0,111075.7023508465,112213.08308157111,96289.63842486135,0,Ensemble (RF + HGB),36
2022-08-10,1,486.7870788574219,1,109859.07342396158,110983.99625193524,95112.84291734293,1,Ensemble (RF + HGB),36
2022-08-11,1,496.2920837402344,1,112004.18177763229,113151.0698496255,95112.84291734293,1,Ensemble (RF + HGB),36
2022-08-12,1,501.91937255859375,0,113274.15947902286,114434.05172866647,95112.84291734293,0,Ensemble (RF + HGB),36
2022-08-16,1,497.427001953125,1,112260.31237085344,113409.82314065647,95112.84291734293,1,Ensemble (RF + HGB),36
2022-08-17,1,499.5077209472656,1,112729.8931602377,113884.21229163611,95112.84291734293,1,Ensemble (RF + HGB),36
2022-08-18,1,503.4798889160156,0,113626.33990561038,114789.83837355793,95071.69459782468,0,Ensemble (RF + HGB),36
2022-08-19,1,492.1306457519531,0,111065.02019886377,112202.29154766622,92808.8916529934,0,Ensemble (RF + HGB),36
2022-08-22,1,483.57147216796875,1,109133.36892862373,110250.86076771568,92768.16841248343,1,Ensemble (RF + HGB),36
2022-08-23,1,493.5966491699219,0,111395.8707578236,112536.5299137031,94569.83633095222,0,Ensemble (RF + HGB),36
2022-08-24,1,491.13763427734375,1,110840.91539978815,111975.89198497681,94528.78819614917,1,Ensemble (RF + HGB),36
2022-08-25,1,492.177978515625,1,111075.7023508465,112213.08308157111,94607.4250777872,1,Ensemble (RF + HGB),36
2022-08-26,1,495.3935546875,0,111801.3999589168,112946.21160799963,94607.4250777872,0,Ensemble (RF + HGB),36
2022-08-29,1,486.928955078125,1,109891.09233083957,111016.34302248576,94566.37000786034,1,Ensemble (RF + HGB),36
2022-08-30,1,502.4395446777344,1,113391.55295455204,114552.64727696362,97578.67835350266,1,Ensemble (RF + HGB),36
2022-09-01,1,504.37835693359375,1,113829.10794979076,114994.68269960172,97955.21467415329,1,Ensemble (RF + HGB),36
2022-09-02,1,507.593994140625,1,114554.81933239618,115727.82514161232,98454.14217682803,1,Ensemble (RF + HGB),36
2022-09-05,1,509.6747131347656,0,115024.40012178043,116202.21429259196,98412.3773875964,0,Ensemble (RF + HGB),36
2022-09-06,1,508.6343078613281,0,114789.59939618697,115965.00928041557,98086.28720545619,0,Ensemble (RF + HGB),36
2022-09-07,1,503.95281982421875,1,113733.0718909595,114897.66326132331,98086.28720545619,1,Ensemble (RF + HGB),36
2022-09-08,1,515.1128540039062,1,116251.6905388454,117442.0717827596,98044.59028546678,1,Ensemble (RF + HGB),36
2022-09-09,1,523.3410034179688,1,118108.63561788185,119318.03140328631,99610.70445217566,1,Ensemble (RF + HGB),36
2022-09-12,1,524.8070068359375,1,118439.4861768417,119652.26976932319,99762.80194442309,1,Ensemble (RF + HGB),36
2022-09-13,1,527.7388916015625,1,119101.15974569115,120320.71867023277,99762.80194442309,1,Ensemble (RF + HGB),36
2022-09-14,1,540.7431640625,1,122035.98974665298,123285.6004198705,99720.79570746435,1,Ensemble (RF + HGB),36
2022-09-15,1,541.1215209960938,0,122121.3780898393,123371.86311319923,99790.57015305501,0,Ensemble (RF + HGB),36
2022-09-16,1,531.332763671875,1,119912.23192241265,121140.09597440793,97985.38289553189,1,Ensemble (RF + HGB),36
