Date,Signal,Price,Target_Return_Fwd,Model_Capital,BH_Capital,Random_Capital,Correct_Prediction,Model_Type,Features_Used
2022-04-27,0,15.436291694641113,1,102379.43422226215,91713.99319948668,81286.36550600384,0,Ensemble (RF + HGB),18
2022-04-28,1,15.696454048156738,0,102336.94521664814,93259.73545372109,82547.25313000157,0,Ensemble (RF + HGB),18
2022-04-29,0,15.566372871398926,0,101360.2583423392,92486.86432660389,82508.42316179909,1,Ensemble (RF + HGB),18
2022-05-02,0,15.349571228027344,0,101360.2583423392,91198.74767014541,81251.5156991041,1,Ensemble (RF + HGB),18
2022-05-04,0,14.91596794128418,0,101360.2583423392,88622.51435722846,81212.92479445762,1,Ensemble (RF + HGB),18
2022-05-05,0,14.829245567321777,0,101360.2583423392,88107.25749546598,80633.62144800203,1,Ensemble (RF + HGB),18
2022-05-06,0,14.742524147033691,0,101360.2583423392,87592.00629991411,80595.14454484486,1,Ensemble (RF + HGB),18
2022-05-09,0,14.612443923950195,0,101360.2583423392,86819.14083900751,79777.77567118555,1,Ensemble (RF + HGB),18
2022-05-10,1,14.265562057495117,0,101317.95737467504,84758.15872164244,79777.77567118555,0,Ensemble (RF + HGB),18
2022-05-11,1,13.788596153259277,0,97930.41393546297,81924.28847852834,79739.45667157421,0,Ensemble (RF + HGB),18
2022-05-12,0,13.441713333129883,1,95344.39608789004,79863.30069495265,77629.41795739024,0,Ensemble (RF + HGB),18
2022-05-13,1,13.615156173706055,1,95303.20504681183,80893.8030860564,77591.4953297771,1,Ensemble (RF + HGB),18
2022-05-16,1,13.788596153259277,1,96517.2481120392,81924.28847852834,78579.91347142795,1,Ensemble (RF + HGB),18
2022-05-17,1,14.048759460449219,0,98338.33607419298,83470.03639897336,80062.55970605522,0,Ensemble (RF + HGB),18
2022-05-18,1,14.048759460449219,0,98338.33607419298,83470.03639897336,80062.55970605522,0,Ensemble (RF + HGB),18
2022-05-19,0,13.745237350463867,1,96090.61257021331,81666.67421317361,78332.8157296406,0,Ensemble (RF + HGB),18
2022-05-20,1,13.91867733001709,1,96049.28385219412,82697.15960564553,79321.23387129144,1,Ensemble (RF + HGB),18
2022-05-23,1,14.092119216918945,0,97246.16259518858,83727.65633053868,80309.66288274286,0,Ensemble (RF + HGB),18
2022-05-24,0,13.96203899383545,0,96225.23922885518,82954.79086963208,79568.34791777967,1,Ensemble (RF + HGB),18
2022-05-25,1,13.485074043273926,1,96183.88567221745,80120.92629272859,76850.16949501331,1,Ensemble (RF + HGB),18
2022-05-26,1,14.005398750305176,1,99895.16319082226,83212.41080119742,79815.4510944673,1,Ensemble (RF + HGB),18
2022-05-27,0,14.308920860290527,1,101930.88939890292,85015.77298699715,81545.19507088193,0,Ensemble (RF + HGB),18
2022-05-30,1,15.262848854064941,1,101888.48314980882,90683.49080838292,86867.95864240131,1,Ensemble (RF + HGB),18
2022-05-31,0,15.306209564208984,0,102048.63828445137,90941.11640615886,86867.95864240131,1,Ensemble (RF + HGB),18
2022-06-01,1,15.306209564208984,0,102006.2103106879,90941.11640615886,86828.33150403178,0,Ensemble (RF + HGB),18
2022-06-02,0,15.262848854064941,0,101588.4121064701,90683.49080838292,86582.35694717997,1,Ensemble (RF + HGB),18
2022-06-03,0,14.87260627746582,0,101588.4121064701,88364.88309324192,84368.60757534539,1,Ensemble (RF + HGB),18
2022-06-06,0,14.655805587768555,0,101588.4121064701,87076.77210299406,83138.75102096013,1,Ensemble (RF + HGB),18
2022-06-07,1,14.35228157043457,1,101546.06904443646,85273.3985847731,81416.9345329554,1,Ensemble (RF + HGB),18
2022-06-08,1,14.4823637008667,0,102466.43344318957,86046.27537810091,82154.85820351083,0,Ensemble (RF + HGB),18
2022-06-09,0,14.439002990722656,1,102030.3611571984,85788.64978032497,81908.88364665901,0,Ensemble (RF + HGB),18
2022-06-10,1,14.4823637008667,0,101987.93655556488,86046.27537810091,82154.85820351083,0,Ensemble (RF + HGB),18
2022-06-13,0,14.048759460449219,1,98808.45410211373,83470.03639897336,79589.08425405582,0,Ensemble (RF + HGB),18
2022-06-14,1,14.092119216918945,0,98766.62394233189,83727.65633053868,79550.80006801095,0,Ensemble (RF + HGB),18
2022-06-15,1,14.092119216918945,0,98766.62394233189,83727.65633053868,79444.9047653406,0,Ensemble (RF + HGB),18
2022-06-16,1,13.658515930175781,0,95727.65357153735,81151.42301762174,79406.6471804114,0,Ensemble (RF + HGB),18
2022-06-17,1,13.571795463562012,0,95119.86083417088,80636.17748828047,78902.47955847331,0,Ensemble (RF + HGB),18
2022-06-20,1,13.571794509887695,1,95119.85415020864,80636.17182206985,78797.24940472006,1,Ensemble (RF + HGB),18
2022-06-21,1,13.930126190185547,1,97631.27275019545,82765.18246401096,78759.11131220488,1,Ensemble (RF + HGB),18
2022-06-22,1,14.512414932250977,0,101712.32630418347,86224.82334061257,81942.81362662607,0,Ensemble (RF + HGB),18
2022-06-23,0,14.33324909210205,1,100329.09463389922,85160.31801964203,81904.09517751196,0,Ensemble (RF + HGB),18
2022-06-24,1,14.78116226196289,0,100286.98391593927,87821.57282275247,84463.59321314981,0,Ensemble (RF + HGB),18
2022-06-27,1,14.601997375488281,0,99071.38897355656,86757.07316799254,83329.87770956986,0,Ensemble (RF + HGB),18
2022-06-28,1,14.154083251953125,0,96032.38867665251,84095.81269867148,83290.90334713245,0,Ensemble (RF + HGB),18
2022-06-29,1,13.885334014892578,1,94208.98332213116,82499.05188411036,81601.2972673526,1,Ensemble (RF + HGB),18
2022-06-30,0,13.930126190185547,1,94391.51494501805,82765.18246401096,81562.64182800677,0,Ensemble (RF + HGB),18
2022-07-01,1,13.9749174118042,1,94350.49971051069,83031.30737770093,81716.65220804776,1,Ensemble (RF + HGB),18
2022-07-04,1,14.198875427246094,0,95862.53373893855,84361.94327857207,81716.65220804776,0,Ensemble (RF + HGB),18
2022-07-05,1,14.109292030334473,1,95257.71883983674,83829.68778498149,81677.97548571537,1,Ensemble (RF + HGB),18
2022-07-06,1,14.154083251953125,1,95560.12307006099,84095.81269867148,81937.26959441182,1,Ensemble (RF + HGB),18
2022-07-07,1,14.288456916809082,0,96467.33576073372,84894.18743974144,82605.98309583943,0,Ensemble (RF + HGB),18
2022-07-08,0,14.288456916809082,1,96343.94030188925,84894.18743974144,82567.14229195825,0,Ensemble (RF + HGB),18
2022-07-11,1,14.467622756958008,1,96302.56484490355,85958.69276071197,83602.46832496268,1,Ensemble (RF + HGB),18
2022-07-12,1,14.557205200195312,0,96898.86315829967,86490.94258809194,84120.1285860182,0,Ensemble (RF + HGB),18
2022-07-13,0,14.557205200195312,0,96775.02128436242,86490.94258809194,84009.50631299596,1,Ensemble (RF + HGB),18
2022-07-14,1,14.243664741516113,1,96733.56629293546,84628.05685984084,84009.50631299596,1,Ensemble (RF + HGB),18
2022-07-15,0,14.422832489013672,1,97825.42569267197,85692.5735132326,84009.50631299596,0,Ensemble (RF + HGB),18
2022-07-18,1,14.91553783416748,1,97783.77690163167,88619.95889624364,84009.50631299596,1,Ensemble (RF + HGB),18
2022-07-19,1,15.139494895935059,1,99252.00202411169,89950.58913090418,84009.50631299596,1,Ensemble (RF + HGB),18
2022-07-20,0,15.273868560791016,1,100005.74582677512,90748.96387197412,84009.50631299596,0,Ensemble (RF + HGB),18
2022-07-21,1,15.676990509033203,0,99963.69476667009,93144.09376139459,84009.50631299596,0,Ensemble (RF + HGB),18
2022-07-22,1,15.408244132995605,0,98250.04438916993,91547.34994546529,84009.50631299596,0,Ensemble (RF + HGB),18
2022-07-25,1,14.960329055786133,0,95393.93204836336,88886.08380993363,84009.50631299596,0,Ensemble (RF + HGB),18
2022-07-26,0,14.870745658874512,1,94701.01305723142,88353.82831634305,83970.40655908121,0,Ensemble (RF + HGB),18
2022-07-27,1,14.960329055786133,1,94659.94072032237,88886.08380993363,84365.26503653663,1,Ensemble (RF + HGB),18
2022-07-28,1,15.005120277404785,1,94943.35256022254,89152.20872362361,84326.0996451374,1,Ensemble (RF + HGB),18
2022-07-29,0,15.09470272064209,1,95387.7709627026,89684.45855100358,84829.53699820275,0,Ensemble (RF + HGB),18
2022-08-01,1,15.36345100402832,1,95346.57191895999,91281.21369935409,86339.85441687834,1,Ensemble (RF + HGB),18
2022-08-02,1,15.990530014038086,0,99238.26486679373,95006.97382343508,89747.36237521964,0,Ensemble (RF + HGB),18
2022-08-03,0,15.811365127563477,0,98001.24426276173,93942.47416867515,89747.36237521964,1,Ensemble (RF + HGB),18
2022-08-04,0,15.542617797851562,0,98001.24426276173,92345.72468653525,89747.36237521964,1,Ensemble (RF + HGB),18
2022-08-05,0,15.497824668884277,0,98001.24426276173,92079.58844042404,89747.36237521964,1,Ensemble (RF + HGB),18
2022-08-08,0,15.453033447265625,0,98001.24426276173,91813.46352673406,89707.20398686141,1,Ensemble (RF + HGB),18
2022-08-10,1,15.184286117553711,0,97959.56303319524,90216.71404459415,88032.29679908414,0,Ensemble (RF + HGB),18
2022-08-11,1,15.184286117553711,1,97959.56303319524,90216.71404459415,88032.29679908414,1,Ensemble (RF + HGB),18
2022-08-12,1,15.453033447265625,1,99693.35353089159,91813.46352673406,88032.29679908414,1,Ensemble (RF + HGB),18
2022-08-16,0,15.542617797851562,1,100143.96534610269,92345.72468653525,88032.29679908414,0,Ensemble (RF + HGB),18
2022-08-17,1,16.035320281982422,0,100101.88878449633,95273.09307091446,88032.29679908414,0,Ensemble (RF + HGB),18
2022-08-18,1,15.990530014038086,0,99822.28162096313,95006.97382343508,87992.45484032472,0,Ensemble (RF + HGB),18
2022-08-19,0,15.632200241088867,0,97460.82461335385,92877.97451391521,85908.05464797573,1,Ensemble (RF + HGB),18
2022-08-22,1,15.36345100402832,1,97419.24309121269,91281.21369935409,85868.60461189318,1,Ensemble (RF + HGB),18
2022-08-23,1,15.453033447265625,0,97987.28303302989,91813.46352673406,86256.34512895909,0,Ensemble (RF + HGB),18
2022-08-24,1,15.453033447265625,1,97987.28303302989,91813.46352673406,86216.8308332828,1,Ensemble (RF + HGB),18
2022-08-25,1,16.080114364624023,1,101963.58681464645,95539.23498323627,89599.0814101984,1,Ensemble (RF + HGB),18
2022-08-26,0,16.12490463256836,0,102118.22559536721,95805.35423071565,89599.0814101984,1,Ensemble (RF + HGB),18
2022-08-29,0,16.080114364624023,1,102118.22559536721,95539.23498323627,89558.95037967822,0,Ensemble (RF + HGB),18
2022-08-30,1,16.169694900512695,1,102075.78478274487,96071.47347819502,90057.87337156243,1,Ensemble (RF + HGB),18
2022-09-01,1,16.25927734375,0,102641.29936124898,96603.72330557498,90556.80698651423,0,Ensemble (RF + HGB),18
2022-09-02,0,16.080114364624023,1,101381.66985793755,95539.23498323627,89442.70164551045,0,Ensemble (RF + HGB),18
2022-09-05,1,16.12490463256836,1,101339.36493984876,95805.35423071565,89402.59946705685,1,Ensemble (RF + HGB),18
2022-09-06,1,16.393653869628906,1,103028.35954988675,97402.11504527676,90775.01893032782,1,Ensemble (RF + HGB),18
2022-09-07,0,16.483234405517578,1,103460.57652748235,97934.35354023552,90775.01893032782,0,Ensemble (RF + HGB),18
2022-09-08,1,16.751985549926758,0,103417.88805111303,99531.12568721785,90734.67093933518,0,Ensemble (RF + HGB),18
2022-09-09,1,16.751985549926758,1,103417.88805111303,99531.12568721785,90734.67093933518,1,Ensemble (RF + HGB),18
2022-09-12,1,16.975942611694336,0,104800.4803577448,100861.75592187839,91828.98159565098,0,Ensemble (RF + HGB),18
2022-09-13,1,16.796775817871094,1,103694.3994474631,99797.24493469723,91828.98159565098,1,Ensemble (RF + HGB),18
2022-09-14,1,17.423856735229492,1,107565.66497100839,103523.01639119945,91788.43914854659,1,Ensemble (RF + HGB),18
2022-09-15,1,17.558229446411133,0,108395.21093501909,104321.38546605878,92496.31121217435,0,Ensemble (RF + HGB),18
2022-09-16,1,16.617610931396484,1,102588.33031214186,98732.7452799373,87541.15652745689,1,Ensemble (RF + HGB),18
2022-09-19,0,16.796775817871094,1,103563.5275912347,99797.24493469723,88369.85491931322,0,Ensemble (RF + HGB),18
2022-09-20,1,17.020732879638672,0,103520.82012039411,101127.87516935777,88369.85491931322,0,Ensemble (RF + HGB),18
2022-09-21,1,16.66240119934082,0,101341.43162508863,98998.86452741666,88369.85491931322,0,Ensemble (RF + HGB),18
2022-09-22,1,16.66240119934082,0,101341.43162508863,98998.86452741666,88369.85491931322,0,Ensemble (RF + HGB),18
2022-09-23,0,16.25927734375,0,98763.71391071152,96603.72330557498,88369.85491931322,1,Ensemble (RF + HGB),18
2022-09-26,1,15.408244132995605,1,98721.892005495,91547.34994546529,88369.85491931322,1,Ensemble (RF + HGB),18
2022-09-27,1,15.721782684326172,0,100730.75938433745,93410.22434129518,88329.9506810806,0,Ensemble (RF + HGB),18
2022-09-28,0,15.497824668884277,1,99169.52034475705,92079.58844042404,86958.00801632195,0,Ensemble (RF + HGB),18
2022-09-29,1,15.632200241088867,1,99127.62356825345,92877.97451391521,86958.00801632195,1,Ensemble (RF + HGB),18
2022-09-30,1,15.94573974609375,0,101115.85462636172,94740.8545759557,86958.00801632195,0,Ensemble (RF + HGB),18
2022-10-03,0,15.721782684326172,1,99568.9526679154,93410.22434129518,86918.36426384294,0,Ensemble (RF + HGB),18
2022-10-04,1,16.12490463256836,1,99526.98219614816,95805.35423071565,89031.2138760383,1,Ensemble (RF + HGB),18
2022-10-06,1,16.52802848815918,0,102015.1644032661,98200.49545255733,89031.2138760383,0,Ensemble (RF + HGB),18
2022-10-07,1,16.348861694335938,0,100909.30172033458,97135.98446537617,88991.18761707816,0,Ensemble (RF + HGB),18
2022-10-10,0,16.25927734375,0,100228.94583348265,96603.72330557498,88388.39932274786,1,Ensemble (RF + HGB),18
2022-10-11,0,16.12490463256836,1,100228.94583348265,95805.35423071565,88388.39932274786,0,Ensemble (RF + HGB),18
2022-10-12,0,16.169694900512695,0,100228.94583348265,96071.47347819502,88388.39932274786,1,Ensemble (RF + HGB),18
2022-10-13,0,15.990530014038086,1,100228.94583348265,95006.97382343508,88388.39932274786,0,Ensemble (RF + HGB),18
2022-10-14,1,16.080114364624023,1,100186.85359297637,95539.23498323627,88388.39932274786,1,Ensemble (RF + HGB),18
2022-10-17,1,16.8863582611084,1,105210.14120062017,100329.4947620772,88348.49166307281,1,Ensemble (RF + HGB),18
2022-10-18,1,17.11031723022461,1,106605.51339393259,101660.13632915895,89520.23259204534,1,Ensemble (RF + HGB),18
2022-10-19,1,17.379064559936523,1,108279.93863524712,103256.88581129885,90926.30374435593,1,Ensemble (RF + HGB),18
2022-10-20,0,17.513437271118164,1,108980.6636272269,104055.25488615819,91510.94378457463,0,Ensemble (RF + HGB),18
2022-10-21,1,17.73739242553711,1,108936.95669478767,105385.8737883975,91510.94378457463,1,Ensemble (RF + HGB),18
2022-10-24,1,18.14051628112793,1,111412.8046066773,107781.01501023919,91510.94378457463,1,Ensemble (RF + HGB),18
2022-10-25,1,18.767597198486328,1,115264.11967596832,111506.7864667414,91470.46001544637,1,Ensemble (RF + HGB),18
2022-10-27,0,18.812389373779297,0,115396.09247235299,111772.91704664199,91570.31834134345,1,Ensemble (RF + HGB),18
2022-10-28,0,18.58843231201172,0,115396.09247235299,110442.28681198147,91570.31834134345,1,Ensemble (RF + HGB),18
2022-10-31,1,18.1853084564209,0,115351.20189329184,108047.14559013979,91529.82361760947,0,Ensemble (RF + HGB),18
2022-11-01,1,18.095726013183594,0,114782.97163639388,107514.89576275981,90961.11842102882,0,Ensemble (RF + HGB),18
2022-11-02,1,18.095726013183594,1,114782.97163639388,107514.89576275981,90920.73609468013,1,Ensemble (RF + HGB),18
2022-11-03,1,18.9019718170166,1,119897.06814547583,112305.16687402196,94971.66292150864,1,Ensemble (RF + HGB),18
2022-11-04,1,20.380088806152344,1,129272.90972904272,121087.32868926569,102398.36050680385,1,Ensemble (RF + HGB),18
2022-11-07,1,20.872793197631836,1,132398.18219123158,124014.70840606613,104741.82790945488,1,Ensemble (RF + HGB),18
2022-11-09,1,21.679039001464844,0,137512.27870031353,128804.97951732828,104741.82790945488,0,Ensemble (RF + HGB),18
2022-11-10,0,20.738420486450195,1,131386.15868070108,123216.33933120678,104741.82790945488,0,Ensemble (RF + HGB),18
2022-11-11,1,20.962377548217773,0,131338.3179344245,124546.96956586732,104741.82790945488,0,Ensemble (RF + HGB),18
2022-11-14,0,20.693628311157227,0,129496.76072146444,122950.20875130619,104741.82790945488,1,Ensemble (RF + HGB),18
2022-11-15,1,20.46967124938965,1,129449.26856911133,121619.57851664566,104741.82790945488,1,Ensemble (RF + HGB),18
2022-11-16,1,20.514463424682617,1,129732.53224533999,121885.70909654626,104741.82790945488,1,Ensemble (RF + HGB),18
2022-11-17,0,20.693628311157227,1,130706.5824015391,122950.20875130619,104698.90304220558,0,Ensemble (RF + HGB),18
2022-11-18,1,22.48528480529785,1,130658.86703708602,133595.2506285904,113622.45637639795,1,Ensemble (RF + HGB),18
2022-11-21,1,25.799846649169922,0,149919.32555450007,153288.56223617654,113577.89303319651,0,Ensemble (RF + HGB),18
2022-11-22,1,24.948808670043945,0,144974.0620579073,148232.16054501382,109694.17342164379,0,Ensemble (RF + HGB),18
2022-11-23,1,24.36652183532715,1,141590.4741348056,144772.5310008334,109694.17342164379,1,Ensemble (RF + HGB),18
2022-11-24,1,24.456104278564453,1,142111.02527041064,145304.78082821338,109694.17342164379,1,Ensemble (RF + HGB),18
2022-11-25,1,24.59048080444336,0,142891.86859882518,146103.17256791514,109650.3348466475,0,Ensemble (RF + HGB),18
2022-11-28,0,24.456104278564453,0,141940.4114147684,145304.78082821338,109051.1423715053,1,Ensemble (RF + HGB),18
2022-11-29,1,24.0529842376709,0,141890.6234088624,142909.66227121413,107253.60747095202,0,Ensemble (RF + HGB),18
2022-11-30,1,23.694652557373047,1,139776.79399783333,140780.65162927302,105655.7863854968,1,Ensemble (RF + HGB),18
2022-12-01,1,24.276941299438477,1,143211.76538430384,144240.29250587465,108116.65763921523,1,Ensemble (RF + HGB),18
2022-12-02,1,24.500898361206055,1,144532.90735974532,145570.92274053517,108073.11011588082,1,Ensemble (RF + HGB),18
2022-12-05,1,24.76964569091797,1,146118.27097930686,147167.6722226751,109121.92274938346,1,Ensemble (RF + HGB),18
2022-12-06,1,25.48630714416504,1,150345.9185497513,151425.68217413605,109121.92274938346,1,Ensemble (RF + HGB),18
2022-12-07,1,25.844636917114258,1,152459.7367091667,153554.6814836559,109078.1897546362,1,Ensemble (RF + HGB),18
2022-12-08,1,26.91963005065918,0,158801.2136906402,159941.70207705797,113615.23569502996,0,Ensemble (RF + HGB),18
2022-12-09,1,25.66547393798828,1,151402.83888107268,152490.1931613172,108322.02616461231,1,Ensemble (RF + HGB),18
2022-12-12,1,26.471717834472656,1,156158.94099137097,157280.45294015814,111724.80659489198,1,Ensemble (RF + HGB),18
2022-12-13,1,29.248788833618164,1,172541.12173974968,173780.28824830687,123445.53141599787,1,Ensemble (RF + HGB),18
2022-12-14,1,30.54773712158203,1,180203.72944505097,181497.92774394824,128927.78788144498,1,Ensemble (RF + HGB),18
2022-12-15,1,30.771692276000977,0,181524.86016887875,182828.54664618755,129872.99840649831,0,Ensemble (RF + HGB),18
2022-12-16,1,28.98003578186035,1,170955.7243653471,172183.5047689033,122311.2498058212,1,Ensemble (RF + HGB),18
2022-12-19,1,30.18940544128418,0,178089.9000340219,179368.91710200717,127260.02528219097,0,Ensemble (RF + HGB),18
2022-12-20,1,29.47274398803711,0,173862.25246357746,175110.9071505462,127212.9458075264,0,Ensemble (RF + HGB),18
2022-12-21,1,26.830049514770508,0,158272.77040240006,159409.4635820992,115806.30688208497,0,Ensemble (RF + HGB),18
