Date,Signal,Exec_Price_NextOpen,MTM_Price,Target_Return_Fwd,Model_Capital,BH_Capital,Random_Capital,Correct_Prediction,Model_Type,Features_Used
2023-08-14,1,36.12411897446069,36.31104278564453,0,218009.03123480934,214633.98536748235,169469.85496553438,0,Ensemble (RF + HGB),18
2023-08-16,1,35.93718484085982,35.89045715332031,1,215483.86370394097,212147.910511771,168373.6722470676,1,Ensemble (RF + HGB),18
2023-08-17,1,35.93718719482422,36.124114990234375,0,216886.7294648272,213529.05819858538,168394.88854124374,0,Ensemble (RF + HGB),18
2023-08-18,1,36.12411589280693,35.93718719482422,0,215764.42769484504,212424.1310296884,168394.88854124374,0,Ensemble (RF + HGB),18
2023-08-21,1,35.7969904558219,35.7502555847168,0,214642.10302167994,211319.1813121777,168340.21968430787,0,Ensemble (RF + HGB),18
2023-08-22,1,35.796985782027114,35.656795501708984,1,214080.9750398718,210766.74027634293,167680.933831685,1,Ensemble (RF + HGB),18
2023-08-23,1,37.24569055265984,37.05876159667969,0,222498.28412110385,219053.73914029766,174273.8702046067,0,Ensemble (RF + HGB),18
2023-08-24,1,36.82510392604699,36.87183380126953,0,221375.9823511217,217948.8119714007,173394.8168053193,0,Ensemble (RF + HGB),18
2023-08-25,1,36.68490524350451,36.5914421081543,1,219692.52969614847,216291.42121805524,172076.23670638818,1,Ensemble (RF + HGB),18
2023-08-28,1,36.91856860064996,36.825103759765625,0,221095.41836021762,217672.5914534833,173175.06242506398,0,Ensemble (RF + HGB),18
2023-08-29,1,36.8251024666649,36.544708251953125,0,219411.94280206144,216015.17815152413,172972.3067482939,0,Ensemble (RF + HGB),18
2023-08-30,1,36.591436957825124,36.404510498046875,0,218570.20502298337,215186.47150054455,172916.79335769883,0,Ensemble (RF + HGB),18
2023-08-31,1,36.17084814885654,36.17084503173828,0,217167.29345573127,213805.27871650277,170929.2407164921,0,Ensemble (RF + HGB),18
2023-09-01,1,36.12411692932575,35.843719482421875,1,215203.25390667102,211871.6448966262,170508.2241514943,1,Ensemble (RF + HGB),18
2023-09-04,1,39.11498360550035,38.92805862426758,1,233721.4163368401,230103.123572336,170508.2241514943,1,Ensemble (RF + HGB),18
2023-09-05,1,39.16172602394016,38.974788665771484,0,234001.98032774418,230379.34409025338,170508.2241514943,0,Ensemble (RF + HGB),18
2023-09-06,1,38.50746908784057,38.414005279541016,1,230635.0750177977,227064.56258356245,170508.2241514943,1,Ensemble (RF + HGB),18
2023-09-07,1,39.72251002548726,39.535579681396484,0,237368.93144405654,233694.1706941717,170453.16538413835,0,Ensemble (RF + HGB),18
2023-09-08,1,39.62904889106841,39.301918029785156,1,235966.04277998736,232313.00045874366,168648.36410253114,1,Ensemble (RF + HGB),18
2023-09-11,1,41.77873793314692,41.404876708984375,0,248592.0636597928,244743.55512621003,177672.36493509577,0,Ensemble (RF + HGB),18
2023-09-12,1,38.32053632514421,38.414005279541016,1,230635.0750177977,227064.56258356245,164838.24387682183,1,Ensemble (RF + HGB),18
2023-09-13,1,40.47022520639513,40.1898307800293,1,241297.010542177,237561.43833392486,172458.48432824045,1,Ensemble (RF + HGB),18
2023-09-14,1,41.124477382227774,41.0777473449707,1,246628.00120754962,242809.89875771975,176268.62092318782,1,Ensemble (RF + HGB),18
2023-09-15,1,42.19932370143876,42.152587890625,1,253081.27073972143,249163.26380179793,180870.48575342385,1,Ensemble (RF + HGB),18
2023-09-18,1,44.2088172358049,45.003265380859375,0,270196.54450582137,266013.57224207965,180813.51514880234,0,Ensemble (RF + HGB),18
2023-09-20,1,43.46109557258651,43.274169921875,0,259815.1729723461,255792.91700963464,177547.85490158756,0,Ensemble (RF + HGB),18
2023-09-21,1,42.199324447554815,41.91892623901367,1,251678.38207565228,247782.09356636985,177547.85490158756,1,Ensemble (RF + HGB),18
2023-09-22,1,44.11535107090033,43.834957122802734,0,263182.10118547553,259107.72106493928,177491.49732235822,0,Ensemble (RF + HGB),18
2023-09-25,1,43.13397478867213,43.13397216796875,1,258973.43519326803,254964.21035865505,173339.94675312313,1,Ensemble (RF + HGB),18
2023-09-26,1,43.64802664754726,43.50783157348633,1,261218.06163641528,257174.0872450627,173284.36553294718,1,Ensemble (RF + HGB),18
2023-09-27,1,44.30227750180564,44.30228042602539,0,265987.87851361383,261870.06153579542,175676.21721434034,0,Ensemble (RF + HGB),18
2023-09-28,1,44.30228026939182,43.92841720581055,1,263743.2291672837,259660.16210077406,175620.2049522643,1,Ensemble (RF + HGB),18
2023-09-29,1,44.53594527242769,44.53594207763672,1,267390.767177683,263251.2317712235,176340.2471525789,1,Ensemble (RF + HGB),18
2023-10-03,1,46.54543207507642,46.26504135131836,0,277772.1616143412,273471.9095522822,176284.11237697926,0,Ensemble (RF + HGB),18
2023-10-04,1,46.17157694383762,45.65751647949219,0,274124.6236039419,269880.83988183277,172921.26009147952,0,Ensemble (RF + HGB),18
2023-10-05,1,45.750985124992425,45.61078643798828,0,273844.0596130378,269604.61936391535,172744.27679751057,0,Ensemble (RF + HGB),18
2023-10-06,1,44.39574415355529,45.37712478637695,0,272441.1709489686,268223.4491284873,171859.31698481826,0,Ensemble (RF + HGB),18
2023-10-09,1,42.99377674434409,42.33951950073242,1,254203.59541288653,250268.21351930863,160354.82497220248,1,Ensemble (RF + HGB),18
2023-10-10,1,44.25554870851126,44.06862258911133,0,264585.0127527276,260488.91384898106,167414.51520890783,0,Ensemble (RF + HGB),18
